City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
335,Langatian,PH,8.5208,123.2324,84.2,75,76,6.29,light rain
336,Kupang,ID,-10.1667,123.5833,88.38,62,20,11.5,few clouds
337,Neuquen,AR,-38.9516,-68.0591,62.49,31,0,11.5,clear sky
338,Yashkino,RU,55.8736,85.4265,36.34,88,100,3.74,overcast clouds
339,Kruisfontein,ZA,-34.0033,24.7314,52.88,89,0,5.5,clear sky
340,Filingue,NE,14.3521,3.3168,89.13,44,75,10.58,broken clouds
341,Cortez,US,37.3489,-108.5859,54.7,81,100,4.61,overcast clouds
342,Iisaku,EE,59.1014,27.3081,52.29,94,100,13.18,overcast clouds
343,Varkkallai,IN,8.7341,76.7067,76.78,89,100,6.22,overcast clouds
344,Bilibino,RU,68.0546,166.4372,24.55,92,100,3.4,light snow
345,Muli,MV,2.9167,73.5667,81.28,78,100,19.71,overcast clouds
346,Zverinogolovskoye,RU,54.4586,64.8542,48.65,29,100,7.78,overcast clouds
347,Cabo San Lucas,MX,22.8909,-109.9124,85.3,64,0,10.36,clear sky
348,Lasa,IT,46.6166,10.7002,54.48,76,11,3.53,few clouds
349,Naberera,TZ,-4.2,36.9333,60.55,79,100,12.77,overcast clouds
350,Sur,OM,22.5667,59.5289,81.28,56,0,5.01,clear sky
