,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
154,Port Moresby,PG,85.3,scattered clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
155,Alofi,NU,77.4,overcast clouds,-19.0595,-169.9187,Taloa Heights
156,Naze,JP,75.67,overcast clouds,28.3667,129.4833,Shishime Hotel
161,Daru,PG,82.0,overcast clouds,-9.0763,143.2092,Daru Lodge
162,Cayenne,GF,78.84,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
163,Ixtapa,MX,77.36,scattered clouds,20.7,-105.2,hotel la terminal
165,San Patricio,US,78.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
175,Lompoc,US,81.01,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
187,Baturaja,ID,77.83,moderate rain,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
188,Vaini,TO,76.28,moderate rain,-21.2,-175.2,Keleti Beach Resort
189,Vanimo,PG,84.04,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
196,Broken Hill,AU,77.34,clear sky,-31.95,141.4333,Royal Exchange Hotel
198,Malibu,US,86.97,clear sky,34.005,-118.8101,Malibu Country Inn
200,Kloulklubed,PW,86.5,broken clouds,7.0419,134.2556,Storyboard Beach Resort
211,Riyadh,SA,78.06,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
212,Bakel,SN,84.52,scattered clouds,14.905,-12.4568,Ablaye Diallo Bakel
213,Nabire,ID,81.88,broken clouds,-3.3667,135.4833,Hotel Nusantara I
215,Boa Vista,BR,80.58,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
216,Key West,US,84.0,clear sky,24.5557,-81.7826,Fairfield Inn & Suites by Marriott Key West
217,Tambun,ID,85.48,haze,-6.2641,107.0712,Metland Hotel Bekasi
221,Gushikawa,JP,81.63,scattered clouds,26.3544,127.8686,Kirari Guest House
231,Canton,CN,85.87,clear sky,23.1167,113.25,Shangjiuwan Hotel
236,Isangel,VU,80.71,broken clouds,-19.55,169.2667,Tanna Lodge
239,Codajas,BR,80.02,broken clouds,-3.8367,-62.0569,ATLÂNTIC HOTEL
240,Bilma,NE,86.02,few clouds,18.6853,12.9164,Expeditions Ténére voyages
